Country Name,Country Code,Series Name,Series Code,1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
China,CHN,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-7156000000,-23115000000,-31787000000,-33849200000,-38066000000,-41674000000,-41117000000,-36978000000,-37483300000,-37357000000,-46789569178.7806,-49444853743.8231,-60144670467.5079,-90379127564.2216,-100149837150.968,-139094535501.613,-114792373681.871,-87167067369.5,-185749835191.821,-231651578090.287,-176250481637.42,-217957551783.694,-144967626758.575,-68098649764.7788,41674876169.524,-27790987919.5091,-92338473352.4804,-50259822364.755,-99374807720.47,-205941648762.63
China,CHN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2.61316219287254,6.1868820761248,5.98715629420307,4.88044415984949,4.65182665077089,4.72533415243528,4.43557710153157,3.74900388026637,3.47508224574174,3.51300212008009,3.60909988460748,3.48740330983945,3.4836411137418,4.55425403392961,4.50857901572192,4.40096483008155,3.73363488970446,2.56888829067473,4.00356290026293,3.70882890211806,2.82709055579985,3.03987546926686,2.55923344660685,2.1921816030386,1.55564214957722,1.34913267883962,1.69390529382619,1.31071877840365,1.7231837927804,1.88326293759591
China,CHN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,11156000000,27515000000,33787000000,35849200000,40180000000,45439000000,45644000000,41014000000,42095300000,47053000000,53073618897.4036,57900937467.3864,68117272181.2194,104108693867.085,124082035618.506,156249335203.202,171534650311.569,131057052869.5,243703434558.178,280072219149.935,241213868161.42,290928431467.003,268097181064.335,242489331627.399,174749584584.051,166083755721.649,235365050036.341,187169822364.755,253095616058.58,333979029130.32
China,CHN,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.936953098914499,0.989361480463352,0.354405913173888,0.272276321917895,0.24474767396042,0.391533332245842,0.439923265678586,0.368922310936633,0.380733224786637,0.723908540503188,0.427326486972596,0.509314281525144,0.407733343159789,0.600602412693315,0.869587666522311,0.483187144800327,1.23505626041791,0.860300665703987,0.952062414633136,0.641205591779762,0.761388132094761,0.762463764718975,1.17538450943085,1.57654789163268,1.92663698828907,1.12338073930445,1.02935195928717,0.958757697603264,1.04659736769215,0.72198560999844
China,CHN,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,4000000000,4400000000,2000000000,2000000000,2114000000,3765000000,4527000000,4036000000,4612000000,9696000000,6284049718.62298,8456083723.56331,7972601713.71155,13729566302.8637,23932198467.5382,17154799701.5885,56742276629.6973,43889985500,57953599366.3569,48420641059.6476,64963386524,72970879683.31,123129554305.76,174390681862.62,216424460753.575,138292767802.139,143026576683.861,136910000000,153720808338.11,128037380367.69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 05/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
